rates_id,weekday,saturday,sun_ph
R1,1.2,1.2,1.2
R2,1.2,1.2,0
R3,1.6,1.6,2
R4,1,1,1.5
R5,1.5,1.5,1.8
R6,1.2,1.2,1.6
R7,2,2,2.4
R8,3,3,3.5
R9,4,4,5
R10,2.5,2.5,3
